"Notes"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Standard Error
	"Alexander County, NC"	"37003"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alexander County, NC"	"37003"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alexander County, NC"	"37003"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Alexander County, NC"	"37003"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Alexander County, NC"	"37003"					38	186361	20.39	3.31	21.67	3.60
	"Alleghany County, NC"	"37005"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	185	Suppressed	Suppressed	Suppressed	Suppressed
	"Alleghany County, NC"	"37005"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	98	Suppressed	Suppressed	Suppressed	Suppressed
	"Alleghany County, NC"	"37005"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	210	Suppressed	Suppressed	Suppressed	Suppressed
	"Alleghany County, NC"	"37005"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	4762	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Alleghany County, NC"	"37005"	"Hispanic or Latino"	"2135-2"			Suppressed	5255	Suppressed	Suppressed	Suppressed	Suppressed
	"Alleghany County, NC"	"37005"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	123	Suppressed	Suppressed	Suppressed	Suppressed
	"Alleghany County, NC"	"37005"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	384	Suppressed	Suppressed	Suppressed	Suppressed
	"Alleghany County, NC"	"37005"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	1054	Suppressed	Suppressed	Suppressed	Suppressed
	"Alleghany County, NC"	"37005"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	10	47718	Unreliable	6.63	Unreliable	9.15
"Total"	"Alleghany County, NC"	"37005"	"Not Hispanic or Latino"	"2186-2"			10	49279	Unreliable	6.42	Unreliable	8.83
	"Alleghany County, NC"	"37005"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alleghany County, NC"	"37005"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alleghany County, NC"	"37005"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alleghany County, NC"	"37005"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Alleghany County, NC"	"37005"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Alleghany County, NC"	"37005"					10	54534	Unreliable	5.80	Unreliable	7.64
	"Anson County, NC"	"37007"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	328	Suppressed	Suppressed	Suppressed	Suppressed
	"Anson County, NC"	"37007"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	157	Suppressed	Suppressed	Suppressed	Suppressed
	"Anson County, NC"	"37007"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	515	Suppressed	Suppressed	Suppressed	Suppressed
	"Anson County, NC"	"37007"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	3816	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Anson County, NC"	"37007"	"Hispanic or Latino"	"2135-2"			Suppressed	4816	Suppressed	Suppressed	Suppressed	Suppressed
	"Anson County, NC"	"37007"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	809	Suppressed	Suppressed	Suppressed	Suppressed
	"Anson County, NC"	"37007"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1401	Suppressed	Suppressed	Suppressed	Suppressed
	"Anson County, NC"	"37007"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	62861	Suppressed	Suppressed	Suppressed	Suppressed
	"Anson County, NC"	"37007"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	Suppressed	58237	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Anson County, NC"	"37007"	"Not Hispanic or Latino"	"2186-2"			10	123308	Unreliable	2.56	Unreliable	2.72
	"Anson County, NC"	"37007"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Anson County, NC"	"37007"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Anson County, NC"	"37007"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Anson County, NC"	"37007"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Anson County, NC"	"37007"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Anson County, NC"	"37007"					10	128124	Unreliable	2.47	Unreliable	2.59
	"Ashe County, NC"	"37009"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	152	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashe County, NC"	"37009"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	58	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashe County, NC"	"37009"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	330	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashe County, NC"	"37009"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	6569	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Ashe County, NC"	"37009"	"Hispanic or Latino"	"2135-2"			Suppressed	7109	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashe County, NC"	"37009"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	294	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashe County, NC"	"37009"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	749	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashe County, NC"	"37009"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	1393	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashe County, NC"	"37009"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	23	125633	18.31	3.82	20.35	4.46
"Total"	"Ashe County, NC"	"37009"	"Not Hispanic or Latino"	"2186-2"			23	128069	17.96	3.74	19.90	4.35
	"Ashe County, NC"	"37009"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Ashe County, NC"	"37009"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Ashe County, NC"	"37009"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Ashe County, NC"	"37009"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Ashe County, NC"	"37009"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Ashe County, NC"	"37009"					23	135178	17.01	3.55	18.61	4.05
	"Avery County, NC"	"37011"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	175	Suppressed	Suppressed	Suppressed	Suppressed
	"Avery County, NC"	"37011"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	65	Suppressed	Suppressed	Suppressed	Suppressed
	"Avery County, NC"	"37011"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	96	Suppressed	Suppressed	Suppressed	Suppressed
	"Avery County, NC"	"37011"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	4053	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Avery County, NC"	"37011"	"Hispanic or Latino"	"2135-2"			Suppressed	4389	Suppressed	Suppressed	Suppressed	Suppressed
	"Avery County, NC"	"37011"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	331	Suppressed	Suppressed	Suppressed	Suppressed
	"Avery County, NC"	"37011"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	501	Suppressed	Suppressed	Suppressed	Suppressed
	"Avery County, NC"	"37011"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	4024	Suppressed	Suppressed	Suppressed	Suppressed
	"Avery County, NC"	"37011"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	13	78982	Unreliable	4.57	Unreliable	5.00
"Total"	"Avery County, NC"	"37011"	"Not Hispanic or Latino"	"2186-2"			13	83838	Unreliable	4.30	Unreliable	4.55
	"Avery County, NC"	"37011"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Avery County, NC"	"37011"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Avery County, NC"	"37011"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Avery County, NC"	"37011"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Avery County, NC"	"37011"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Avery County, NC"	"37011"					13	88227	Unreliable	4.09	Unreliable	4.27
	"Beaufort County, NC"	"37013"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1655	Suppressed	Suppressed	Suppressed	Suppressed
	"Beaufort County, NC"	"37013"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	416	Suppressed	Suppressed	Suppressed	Suppressed
	"Beaufort County, NC"	"37013"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	1843	Suppressed	Suppressed	Suppressed	Suppressed
	"Beaufort County, NC"	"37013"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	14395	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Beaufort County, NC"	"37013"	"Hispanic or Latino"	"2135-2"			Suppressed	18309	Suppressed	Suppressed	Suppressed	Suppressed
	"Beaufort County, NC"	"37013"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	687	Suppressed	Suppressed	Suppressed	Suppressed
	"Beaufort County, NC"	"37013"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1135	Suppressed	Suppressed	Suppressed	Suppressed
	"Beaufort County, NC"	"37013"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	59692	Suppressed	Suppressed	Suppressed	Suppressed
	"Beaufort County, NC"	"37013"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	40	157491	25.40	4.02	29.63	5.01
"Total"	"Beaufort County, NC"	"37013"	"Not Hispanic or Latino"	"2186-2"			46	219005	21.00	3.10	23.32	3.68
	"Beaufort County, NC"	"37013"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Beaufort County, NC"	"37013"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Beaufort County, NC"	"37013"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Beaufort County, NC"	"37013"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Beaufort County, NC"	"37013"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Beaufort County, NC"	"37013"					47	237314	19.80	2.89	21.54	3.32
	"Bertie County, NC"	"37015"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	116	Suppressed	Suppressed	Suppressed	Suppressed
	"Bertie County, NC"	"37015"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	150	Suppressed	Suppressed	Suppressed	Suppressed
	"Bertie County, NC"	"37015"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	450	Suppressed	Suppressed	Suppressed	Suppressed
	"Bertie County, NC"	"37015"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	1172	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Bertie County, NC"	"37015"	"Hispanic or Latino"	"2135-2"			Suppressed	1888	Suppressed	Suppressed	Suppressed	Suppressed
	"Bertie County, NC"	"37015"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	529	Suppressed	Suppressed	Suppressed	Suppressed
	"Bertie County, NC"	"37015"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	595	Suppressed	Suppressed	Suppressed	Suppressed
	"Bertie County, NC"	"37015"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	61566	Suppressed	Suppressed	Suppressed	Suppressed
	"Bertie County, NC"	"37015"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	Suppressed	35149	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Bertie County, NC"	"37015"	"Not Hispanic or Latino"	"2186-2"			12	97839	Unreliable	3.54	Unreliable	3.79
	"Bertie County, NC"	"37015"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Bertie County, NC"	"37015"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Bertie County, NC"	"37015"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Bertie County, NC"	"37015"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Bertie County, NC"	"37015"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Bertie County, NC"	"37015"					12	99727	Unreliable	3.47	Unreliable	3.71
	"Bladen County, NC"	"37017"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1309	Suppressed	Suppressed	Suppressed	Suppressed
	"Bladen County, NC"	"37017"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	84	Suppressed	Suppressed	Suppressed	Suppressed
	"Bladen County, NC"	"37017"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	1176	Suppressed	Suppressed	Suppressed	Suppressed
	"Bladen County, NC"	"37017"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	10627	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Bladen County, NC"	"37017"	"Hispanic or Latino"	"2135-2"			Suppressed	13196	Suppressed	Suppressed	Suppressed	Suppressed
	"Bladen County, NC"	"37017"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	4017	Suppressed	Suppressed	Suppressed	Suppressed
	"Bladen County, NC"	"37017"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	576	Suppressed	Suppressed	Suppressed	Suppressed
	"Bladen County, NC"	"37017"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	58895	Suppressed	Suppressed	Suppressed	Suppressed
	"Bladen County, NC"	"37017"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	26	94353	27.56	5.40	28.66	5.90
"Total"	"Bladen County, NC"	"37017"	"Not Hispanic or Latino"	"2186-2"			27	157841	17.11	3.29	18.09	3.63
	"Bladen County, NC"	"37017"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Bladen County, NC"	"37017"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Bladen County, NC"	"37017"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Bladen County, NC"	"37017"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Bladen County, NC"	"37017"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Bladen County, NC"	"37017"					27	171037	15.79	3.04	16.59	3.30
	"Brunswick County, NC"	"37019"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1310	Suppressed	Suppressed	Suppressed	Suppressed
	"Brunswick County, NC"	"37019"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	614	Suppressed	Suppressed	Suppressed	Suppressed
	"Brunswick County, NC"	"37019"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	2068	Suppressed	Suppressed	Suppressed	Suppressed
	"Brunswick County, NC"	"37019"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	25338	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Brunswick County, NC"	"37019"	"Hispanic or Latino"	"2135-2"			Suppressed	29330	Suppressed	Suppressed	Suppressed	Suppressed
	"Brunswick County, NC"	"37019"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	4335	Suppressed	Suppressed	Suppressed	Suppressed
	"Brunswick County, NC"	"37019"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	5177	Suppressed	Suppressed	Suppressed	Suppressed
	"Brunswick County, NC"	"37019"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	68471	Suppressed	Suppressed	Suppressed	Suppressed
	"Brunswick County, NC"	"37019"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	151	507439	29.76	2.42	40.26	3.45
"Total"	"Brunswick County, NC"	"37019"	"Not Hispanic or Latino"	"2186-2"			157	585422	26.82	2.14	34.80	2.92
	"Brunswick County, NC"	"37019"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Brunswick County, NC"	"37019"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Brunswick County, NC"	"37019"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Brunswick County, NC"	"37019"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Brunswick County, NC"	"37019"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Brunswick County, NC"	"37019"					161	614752	26.19	2.06	33.37	2.76
	"Buncombe County, NC"	"37021"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	2412	Suppressed	Suppressed	Suppressed	Suppressed
	"Buncombe County, NC"	"37021"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1164	Suppressed	Suppressed	Suppressed	Suppressed
	"Buncombe County, NC"	"37021"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	3401	Suppressed	Suppressed	Suppressed	Suppressed
	"Buncombe County, NC"	"37021"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	75076	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Buncombe County, NC"	"37021"	"Hispanic or Latino"	"2135-2"			Suppressed	82053	Suppressed	Suppressed	Suppressed	Suppressed
	"Buncombe County, NC"	"37021"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	5006	Suppressed	Suppressed	Suppressed	Suppressed
	"Buncombe County, NC"	"37021"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	19112	Suppressed	Suppressed	Suppressed	Suppressed
	"Buncombe County, NC"	"37021"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	11	85708	Unreliable	3.87	Unreliable	3.79
	"Buncombe County, NC"	"37021"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	218	1073445	20.31	1.38	21.63	1.49
"Total"	"Buncombe County, NC"	"37021"	"Not Hispanic or Latino"	"2186-2"			229	1183271	19.35	1.28	20.31	1.37
