geo_description,year,type,subtype,estimate,se
"Forsyth County, NC",2017,Race / Ethnicity,African American,0.3039214120277933,0.021831560263624292
"Forsyth County, NC",2017,Race / Ethnicity,Hispanic / Latino,0.1482150727192596,NA
"Forsyth County, NC",2017,Race / Ethnicity,"White, non-Hispanic",0.4979716728178922,0.013819863695010376
"Forsyth County, NC",2018,Race / Ethnicity,African American,0.27495015551479385,0.021890410743394245
"Forsyth County, NC",2018,Race / Ethnicity,Hispanic / Latino,0.18017656500802567,0.03120452167559041
"Forsyth County, NC",2018,Race / Ethnicity,"White, non-Hispanic",0.49383650178126676,0.01354833088829441
"Forsyth County, NC",2012,Gender,Female,0.40931137890380825,0.013354125219572117
"Forsyth County, NC",2012,Gender,Male,0.3739801864801865,0.015003960979369572
"Forsyth County, NC",2013,Gender,Female,0.4147711797800898,0.014933017190472013
"Forsyth County, NC",2013,Gender,Male,0.3986309204971538,0.01640872289671699
"Forsyth County, NC",2014,Gender,Female,0.42273259865675183,0.015257276779182823
"Forsyth County, NC",2014,Gender,Male,0.37977705577195786,0.014981556391195187
"Forsyth County, NC",2015,Gender,Female,0.4239629235678468,0.015535576848397155
"Forsyth County, NC",2015,Gender,Male,0.41457566534541335,0.015849298754493524
"Forsyth County, NC",2016,Gender,Female,0.44978310142447575,0.01548278947453577
"Forsyth County, NC",2016,Gender,Male,0.4092670157068063,0.014343469677182556
"Forsyth County, NC",2017,Gender,Female,0.4326734714919064,0.014869220791041624
"Forsyth County, NC",2017,Gender,Male,0.40665084356551023,0.016111029289573708
"Forsyth County, NC",2018,Gender,Female,0.43595572751582984,0.015319031352292333
"Forsyth County, NC",2018,Gender,Male,0.38982300131173236,0.015017633237598301
"Forsyth County, NC",2012,Age,25 to 34 years,0.38545454545454544,0.025886015075595497
"Forsyth County, NC",2012,Age,35 to 44 years,0.41417155034629727,0.02353365808100995
"Forsyth County, NC",2012,Age,45 to 64 years,0.4324626032596562,0.016676989171486488
"Forsyth County, NC",2012,Age,65 years and over,0.303571792831936,0.01710175225450131
"Forsyth County, NC",2013,Age,25 to 34 years,0.41766725717910025,0.023822778695810516
"Forsyth County, NC",2013,Age,35 to 44 years,0.44721668488628813,0.025539074487192417
"Forsyth County, NC",2013,Age,45 to 64 years,0.43579250660291674,0.0168743952446817
"Forsyth County, NC",2013,Age,65 years and over,0.30706914651296374,0.019013410173441835
"Forsyth County, NC",2014,Age,25 to 34 years,0.40381304871750734,0.028102181221497165
"Forsyth County, NC",2014,Age,35 to 44 years,0.44715412309274816,0.025936509736479964
"Forsyth County, NC",2014,Age,45 to 64 years,0.41973558985393306,0.01572025607059464
"Forsyth County, NC",2014,Age,65 years and over,0.33159619106010385,0.01955409085950502
"Forsyth County, NC",2015,Age,25 to 34 years,0.47719759260829026,0.029944227082085155
"Forsyth County, NC",2015,Age,35 to 44 years,0.4443860110439127,0.026606138462123095
"Forsyth County, NC",2015,Age,45 to 64 years,0.4248961626681545,0.016406583899287723
"Forsyth County, NC",2015,Age,65 years and over,0.34046225969400734,0.018229604450343762
"Forsyth County, NC",2016,Age,25 to 34 years,0.42494745691467,0.02893023812670712
"Forsyth County, NC",2016,Age,35 to 44 years,0.46915135840130867,0.026975886978340413
"Forsyth County, NC",2016,Age,45 to 64 years,0.4566298787610263,0.016776494952816193
"Forsyth County, NC",2016,Age,65 years and over,0.3597286286052731,0.018809732950753142
"Forsyth County, NC",2017,Age,25 to 34 years,0.4356370916668369,0.02729614062534213
"Forsyth County, NC",2017,Age,35 to 44 years,0.4307491004252535,0.025883978419178888
"Forsyth County, NC",2017,Age,45 to 64 years,0.44885269576379977,0.01818321272275236
"Forsyth County, NC",2017,Age,65 years and over,0.35148420925539436,0.01804630542299372
"Forsyth County, NC",2018,Age,25 to 34 years,0.43938902186701284,0.026882180133307256
"Forsyth County, NC",2018,Age,35 to 44 years,0.46233657058159855,0.027960295077336605
"Forsyth County, NC",2018,Age,45 to 64 years,0.417674950128813,0.01603178303543761
"Forsyth County, NC",2018,Age,65 years and over,0.3539123954624493,0.019715318061308402
