year,year_concat,geo_description,type,subtype,estimate,trials,success
2017,2016 - 2017,"Guilford County, NC",Economic Status,Economically Disadvantaged,0.38299999999999995,2136,818
2017,2016 - 2017,"Guilford County, NC",Economic Status,Non-economically Disadvantaged,0.735,3199,2351
2018,2017 - 2018,North Carolina,Comparison Community,Total,0.579,103562,59962
2018,2017 - 2018,North Carolina,Gender,Female,0.613,52433,32141
2018,2017 - 2018,North Carolina,Gender,Male,0.544,51129,27814
2018,2017 - 2018,North Carolina,Race / Ethnicity,African American,0.344,25045,8615
2018,2017 - 2018,North Carolina,Race / Ethnicity,Hispanic / Latino,0.42700000000000005,15398,6575
2018,2017 - 2018,North Carolina,Race / Ethnicity,"White, non-hispanic",0.723,54596,39473
2018,2017 - 2018,North Carolina,Economic Status,Economically Disadvantaged,0.387,36741,14219
2018,2017 - 2018,"Durham County, NC",Comparison Community,Total,0.514,2295,1180
2018,2017 - 2018,"Durham County, NC",Gender,Female,0.5579999999999999,1202,671
2018,2017 - 2018,"Durham County, NC",Gender,Male,0.466,1093,509
2018,2017 - 2018,"Durham County, NC",Race / Ethnicity,African American,0.41,1074,440
2018,2017 - 2018,"Durham County, NC",Race / Ethnicity,Hispanic / Latino,0.391,621,243
2018,2017 - 2018,"Durham County, NC",Race / Ethnicity,"White, non-hispanic",0.861,466,401
2018,2017 - 2018,"Durham County, NC",Economic Status,Economically Disadvantaged,0.35100000000000003,1049,368
2018,2017 - 2018,"Forsyth County, NC",Comparison Community,Total,0.5710000000000001,3823,2183
2018,2017 - 2018,"Forsyth County, NC",Gender,Female,0.597,1899,1134
2018,2017 - 2018,"Forsyth County, NC",Gender,Male,0.546,1924,1051
2018,2017 - 2018,"Forsyth County, NC",Race / Ethnicity,African American,0.33299999999999996,1052,350
2018,2017 - 2018,"Forsyth County, NC",Race / Ethnicity,Hispanic / Latino,0.384,810,311
2018,2017 - 2018,"Forsyth County, NC",Race / Ethnicity,"White, non-hispanic",0.797,1696,1352
2018,2017 - 2018,"Forsyth County, NC",Economic Status,Economically Disadvantaged,0.363,1343,488
2018,2017 - 2018,"Guilford County, NC",Comparison Community,Total,0.5670000000000001,5170,2931
2018,2017 - 2018,"Guilford County, NC",Gender,Female,0.58,2595,1505
2018,2017 - 2018,"Guilford County, NC",Gender,Male,0.555,2575,1429
2018,2017 - 2018,"Guilford County, NC",Race / Ethnicity,African American,0.368,1963,722
2018,2017 - 2018,"Guilford County, NC",Race / Ethnicity,Hispanic / Latino,0.40700000000000003,666,271
2018,2017 - 2018,"Guilford County, NC",Race / Ethnicity,"White, non-hispanic",0.807,1961,1583
2018,2017 - 2018,"Guilford County, NC",Economic Status,Economically Disadvantaged,0.361,2065,745
2018,2017 - 2018,North Carolina,Economic Status,Non-economically Disadvantaged,0.685,66821,45772
2018,2017 - 2018,"Durham County, NC",Economic Status,Non-economically Disadvantaged,0.6509999999999999,1246,811
2018,2017 - 2018,"Forsyth County, NC",Economic Status,Non-economically Disadvantaged,0.684,2480,1696
2018,2017 - 2018,"Guilford County, NC",Economic Status,Non-economically Disadvantaged,0.7040000000000001,3105,2186
2019,2018 - 2019,North Carolina,Comparison Community,Total,0.5579999999999999,101541,56660
2019,2018 - 2019,North Carolina,Gender,Female,0.59,51510,30391
2019,2018 - 2019,North Carolina,Gender,Male,0.525,50031,26266
2019,2018 - 2019,North Carolina,Race / Ethnicity,African American,0.32,24028,7689
2019,2018 - 2019,North Carolina,Race / Ethnicity,Hispanic / Latino,0.402,16121,6481
2019,2018 - 2019,North Carolina,Race / Ethnicity,"White, non-hispanic",0.703,52649,37012
2019,2018 - 2019,North Carolina,Economic Status,Economically Disadvantaged,0.358,38455,13767
2019,2018 - 2019,"Durham County, NC",Comparison Community,Total,0.467,2343,1094
2019,2018 - 2019,"Durham County, NC",Gender,Female,0.496,1254,622
2019,2018 - 2019,"Durham County, NC",Gender,Male,0.434,1089,473
2019,2018 - 2019,"Durham County, NC",Race / Ethnicity,African American,0.37,1142,423
2019,2018 - 2019,"Durham County, NC",Race / Ethnicity,Hispanic / Latino,0.359,588,211
2019,2018 - 2019,"Durham County, NC",Race / Ethnicity,"White, non-hispanic",0.799,473,378
2019,2018 - 2019,"Durham County, NC",Economic Status,Economically Disadvantaged,0.295,1124,332
2019,2018 - 2019,"Forsyth County, NC",Comparison Community,Total,0.539,3704,1996
2019,2018 - 2019,"Forsyth County, NC",Gender,Female,0.557,1935,1078
2019,2018 - 2019,"Forsyth County, NC",Gender,Male,0.52,1769,920
2019,2018 - 2019,"Forsyth County, NC",Race / Ethnicity,African American,0.314,1028,323
2019,2018 - 2019,"Forsyth County, NC",Race / Ethnicity,Hispanic / Latino,0.316,822,260
2019,2018 - 2019,"Forsyth County, NC",Race / Ethnicity,"White, non-hispanic",0.773,1599,1236
2019,2018 - 2019,"Forsyth County, NC",Economic Status,Economically Disadvantaged,0.303,1272,385
2019,2018 - 2019,"Guilford County, NC",Comparison Community,Total,0.561,4978,2793
2019,2018 - 2019,"Guilford County, NC",Gender,Female,0.5920000000000001,2582,1529
2019,2018 - 2019,"Guilford County, NC",Gender,Male,0.527,2396,1263
2019,2018 - 2019,"Guilford County, NC",Race / Ethnicity,African American,0.36200000000000004,1842,667
2019,2018 - 2019,"Guilford County, NC",Race / Ethnicity,Hispanic / Latino,0.445,672,299
2019,2018 - 2019,"Guilford County, NC",Race / Ethnicity,"White, non-hispanic",0.784,1882,1475
2019,2018 - 2019,"Guilford County, NC",Economic Status,Economically Disadvantaged,0.35600000000000004,2135,760
2019,2018 - 2019,North Carolina,Economic Status,Non-economically Disadvantaged,0.68,63086,42898
2019,2018 - 2019,"Durham County, NC",Economic Status,Non-economically Disadvantaged,0.626,1219,763
2019,2018 - 2019,"Forsyth County, NC",Economic Status,Non-economically Disadvantaged,0.662,2432,1610
2019,2018 - 2019,"Guilford County, NC",Economic Status,Non-economically Disadvantaged,0.715,2843,2033
